poi_id,lat,lon
1,25.16168404,121.397453
2,25.16161288,121.3973769
3,25.16154174,121.3973008
4,25.16147059,121.3972246
5,25.16139943,121.3971485
6,25.16132828,121.3970724
7,25.16125713,121.3969963
8,25.16118598,121.3969201
9,25.16111483,121.396844
10,25.16104368,121.3967679
11,25.16097253,121.3966918
12,25.16090137,121.3966157
13,25.16083022,121.3965395
14,25.16075908,121.3964634
15,25.16068792,121.3963873
16,25.16061677,121.3963112
17,25.16054561,121.3962351
18,25.16047446,121.3961589
19,25.16040331,121.3960828
20,25.16033216,121.3960067
21,25.16026101,121.3959306
22,25.16018985,121.3958545
23,25.1601187,121.3957783
24,25.16004755,121.3957022
25,25.1599764,121.3956261
26,25.15990524,121.39555
27,25.15983409,121.3954739
28,25.15976294,121.3953977
29,25.15969179,121.3953216
30,25.15962064,121.3952455
31,25.15954948,121.3951694
32,25.15947834,121.3950933
33,25.15940718,121.3950171
34,25.15933603,121.394941
35,25.15926487,121.3948649
36,25.15919373,121.3947888
37,25.15912257,121.3947127
38,25.15905142,121.3946365
39,25.15898026,121.3945604
40,25.15890912,121.3944843
41,25.15883796,121.3944082
42,25.15876681,121.3943321
43,25.15869565,121.394256
44,25.15862449,121.3941798
45,25.15855335,121.3941037
46,25.15848219,121.3940276
47,25.15841104,121.3939515
48,25.15833988,121.3938754
49,25.15826874,121.3937993
50,25.15819758,121.3937231
51,25.15812643,121.393647
52,25.15805527,121.3935709
