poi_id,lat,lon
1,25.15794991,121.3936025
2,25.15786154,121.3936523
3,25.15777317,121.3937021
4,25.15768479,121.3937518
5,25.15759642,121.3938016
6,25.15750805,121.3938514
7,25.15741968,121.3939012
8,25.1573313,121.3939509
9,25.15724293,121.3940007
10,25.15715456,121.3940505
11,25.15706618,121.3941003
12,25.15697781,121.39415
13,25.15688944,121.3941998
14,25.15680107,121.3942496
15,25.15671269,121.3942994
16,25.15662432,121.3943491
17,25.15653595,121.3943989
18,25.15644758,121.3944487
19,25.1563592,121.3944985
20,25.15627083,121.3945482
21,25.15618246,121.394598
22,25.15609408,121.3946478
23,25.15600571,121.3946976
24,25.15591734,121.3947473
25,25.15582897,121.3947971
26,25.15574059,121.3948469
27,2.619176188,118.752475
